text	goldStandard
serious question my boyfriend has and now i’m curious; does my iud protect against god babies? like if there’s a market for immaculate conception, am i protected?	neutral
has been proven not to work. for some it's psychological. they also use injection depo (contraception) on them too	neutral
just because you have the blessing of being able to carry a child doesn’t mean you have the right to murder it. get a contraception implant if you don’t want to have a child. i’d much prefer you be barren instead of taking a life. idiot.....	positive
need response jennifer williams ward anyone taken depo provera? did you or do you like it? what to expect?	neutral
lmfaooooo : let me see yo birth control patch bitch	neutral
« gotta birth control shot, ish hurt like hell» hell yeah	negative
iud's can suck sometimes. i feel ya sending love	mixed
contraceptive pill recalled in us	negative
my iud is seriously the best birth control ever. i’m actually having a good period . who says that	positive
finna take this pregnancy test before i get this birth control shot	neutral
morgan says: i have a question for any ladies who have/had the implanon... i got my implanon put in on friday....	neutral
ladies, never get implanon, never.	negative
omg i'm having crazy spasms/cramps. i had an iud put in 2months ago and if no one went threw this somethings wrong. i'm scared! tmi i know!	negative
at the car service dept: tv ad for iud shows woman playing with tough toddler, rolling her eyes, and saying not quite ready for another.	neutral
nothing beats watching women take their contraceptive pill on the metro platform heading to work on a friday. how can people hate america?	positive
just so we know facts: there is no science that says iuds are abortion causing. is ignorant on the facts.	positive
these trump iuds will haunt your nightmares -	negative
yes mirena iud doesn’t cause weight gain, will eventually get rid of your period and you have almost no chance of getting preggo. love it	positive
_t_weezy_ lmao. i got the iud! no more babies for 5 years. buuut yeah, that's a problem. you need to spend time with us!!	positive
what hormone pill helps you lose weight - what hormone pill helps ...: 63% - what contraceptive pill makes you los...	neutral
mt bro:even i kno wht iud isandi judge summer weathr by kind ofgoldbond i need 2put on n the mornng|ha	falsePositive
_: sooo when u gettin ya next depo shot.?	neutral
supposed to get a vag steam if you have an iud	neutral
or you could get the paragard, and have horrible periods and if it fucks up u can die but that's literally the route i go to avoid the hormones and the pregnancies. bc i'm one of those women who gets pregnant if you sneeze in my general direction.	mixed
chillllllllllllllllllll : her nuva ring popped out now i'm sweating woooooh	negative
don't like the idea of drinking out of warm plastic bottle? how about when it's in your birth control implant?	negative
whatever yal do dont fuck with a nuva ring	negative
taking prednisone on the contraceptive pill	neutral
ya know what, on monday morning i’m going to get the depo injection bc i can’t do with days of migraines every month. fuck periods	positive
okay so last night i took my first bc pill since having kenna and i have mixed emotions. who thinks i should just go ahead and get pregnant with baby mcclendon 2? let’s talk matthew into it.	mixed
looking up iud symptoms and immediately concluding i’m infertile now	negative
depo shot wednesday ugh hate they give it too you u a different place ugh	negative
missed a contraceptive pill? will i get my period? - find the answer to this question and millions more on yahoo!7...	neutral
condoms are 99% effective and vasectomies are often covered by insurance. they’re cheaper and easier to access than sterilization for women, have less side effects than iuds or birth control bills.	negative
my iud not this big. what kind is this and why they didn’t take it out when they found out she was pregnant?	mixed
why choose the vaginal contraceptive ring?: there are so many different forms of contraception on the market the..	neutral
girl i had the copper iud, (the paragard) that shit embedded in my uterus that i had to get it removed cause i bled 2 weeks straight	negative
so.. flights to iud airport are expensive as hell. looks like i won't be visiting discovery for a while..	falsePositive
iuds can be a great non-hormonal form of birth control. it's time to rediscover the iud, women's health.	positive
bruhhhh iuds are the devil!!!!!!! honestly all this shit is! sucks being a woman!	negative
fuck steroids! busta rhymes look like he on the birth control shot...~ lmaooooooooooooooooooooo	negative
call immediately for an iud placement sis. don’t mess around with the baby fever.	positive
i’m happy on birth control shot. i just hate my hormones sometimes. it happens every couple months. but that’s my only flaw with it.	mixed
this girl with the birth control patch is .how u gonna strip with a thong and a huge patch?guess who gets no tip? lmao	negative
contraceptive implant ;) help. contraceptive implant is just not proper..?	neutral
contraceptive pill for men is close as experts learn to pause fertility | the times	neutral
: how many chicks you women fucked with iuds	neutral
nigga said yea i like it not you! put that nuva ring on	positive
officially getting a new iud tomorrow. i don’t wannaaaaa	negative
_baxley my iud. i got a new one yesterday but they couldn't find the old one so they had to keep scraping my uterus until they found it.	negative
i plan to get an iud once my obamacare insurance kicks in.	positive
my iud was a political decision	positive
i' m getting random little pimples and i'm pretty sure they're because of my iud i wanna fight	negative
can't get pregnant on birth control ... well implanon	positive
the thing about my iud is i don't usually have periods anymore but i have one now and my uterus is very, very angry about it.	mixed
ugh, idk. just got a new iud and apparently it can make your period longer for the first 3-6 months. i'm on month 4	negative
at least i was smart enough to only take half my tramadol dose for this afternoon before the iud so i could take the other now. ugh.	negative
study of anti-aids vaginal ring begins in africa'	falsePositive
my roommate’s 6 year old is a constant reminder to myself to never remove my iud	positive
doesn't the depo injection make you gain weight? it can do	negative
i wish i never would’ve got that stick iud in my arm	negative
looks like an iud to me. whatcha thinking it is?	neutral
update: going off the nuvaring	neutral
american women: i suggest getting some 5-10 year iuds before obamacare free birth control goes poof, but hope you don't get complications.	mixed
i have the non-hormonal copper iud and it's pretty awesome, as someone who has a really shitty time with hormones.	positive
call me when you get your first nipple hair and i’ll be your support person. in the meantime, get an iud. they’re life changing!	positive
i haven't had a depo shot in almost two years and my arm in that spot...	negative
if you're in my insurance pool, which of those things do you want me to have? the $50,000+ unwanted pregnancy? or the $1,000 iud?	positive
_tyff _sharoyal_ yea it's no joke...iud is better	positive
who know where's iud?	falsePositive
i wish the nexplanon worked out for me buttttt oh well	mixed
drug rep told me today that someone pulled their own iud and contacted her about it. yep.	neutral
drug-infused vaginal ring shows promising signs in battle against hiv rates - new statesman: new…	falsePositive
the fda has approved ella, a new morning-after contraceptive pill effective for up to five...	neutral
on iud. boyfriend wants to stop using [condoms]	neutral
uhm... so, chillin w/granny &ma, granny asks if the implanon works... uhm, i guess granny, you're great grand kid free, right?	positive
_ and i believe iud lasts 12 years.. or maybe 5 years.. depends on which one you get.. could be with or without hormones too	neutral
here’s a secret for you bitches, an iud. you won’t get pregnant or a period	positive
chuckle...feed-back from that iud???	neutral
_jayleen__ im being a stalker. but yesssssssssss the iud is the devil! everything has been messed up since i got it!	negative
i have a follow up in a few weeks. still not as bad as the obgyn who was like meh about my paragard being half expelled for a week.	negative
news said: a women caught her husband's affair and found some condoms with a box of oral contraceptive drugs. my eyes hurts	neutral
i miscarried several times, i desperately wanted those children, i have also said the next time i get pregnant i will have an abortion (before you spout rubbish, i have an iud and have asked for sterilisation). you don’t speak for me.	positive
lmao _yepthatsme: these people are trying to charge me $140 for a depo shot. what the what!!!	negative
can iuds cause cancer? no; iuds do not cause cancer.	positive
dude! the horrific part is implanon was discontinued by gov because of many negative side effects on many women. now they giving it to women again. we must all die is what they saying	negative
i get my iud in this morning i'm really so scared and idk why lmao	negative
pretty sure nexplanon will be the death of me for the next 3 months.	negative
u.s. fda approves new oral contraceptive that also raises folate levels – pr newswire (press release)	neutral
vacature in oss: asset and equipment manager- afdeling implanon - msd - oss: ...	falsePositive
i just did my first week on the birth control patch and i took it off and it looks like someone just fucking took a bite on my hip	negative
i see now how easy it is to forget your bc pill. i need something more efficient lol this ain't gonna cut it	negative
- she needs to juror her butt down to planned parenthood for a birth control shot. today.	neutral
thats why dont ever want an iud because ive heard they just make periods worse	negative
thank goodness for nuvaring.	positive
birth control shot got my arm hurting like hell	negative
i got my iud and haven't had a period in almost a year	positive
when woman employ go iud(intrauterine device) i.e.loop one day spl cl eligible vide go ms no.128 fandp dt.13-4-1982	neutral
can make the bc pill less effective, i read. lololololol i ain't about to be no statistic, no siree	negative
_jls. aww lucki iud be killed if i skived :p	falsePositive
made appt to get an iud. told receptionist i'd say i'm looking forward to it, but i'm not. though i'm looking forward to not having a baby	mixed
the contraceptive pill free on the nhs test kitchen	positive
i got an iud put in today and the doctor said most people cry and scream but i was a little trooper. phat pussy energy.	mixed
new insurance coverage to make iuds a favorite with american women: contraceptives - among a whole slate of wome...	positive
the law student needs to get an iud from panned parenthood. often free for students.	positive
i dead fucking ass had a dream i was pregnant and i'm getting my birth control shot today i'm shook.	positive
after a long day of pain finally starting to get relief from my stomach! but this nexplanon got my arm sore af!!!	negative
i’ve heard a lot of things about the stupid iud i wanna take mine out!	negative
_enticingdreams im not pregnant! tf! i just got my depo shot yesterday and i just got off my period!	positive
me too cuz! i have a bulging disc and arthritis in my upper back in the t-spine (thoracic). i am going for physical therapy friday for a few weeks. yesterday i went to have the iud renewed and i’m still in pain. it hurt worse this go around more getting it placed than removed.	negative
tasting ur birth control pill in the back of ur throat by accident like	negative
.... yeah.. you were pretty fucking perpetually pregnant for a while, there. glad to see you finally learned that condoms are not an oral contraceptive!	neutral
: i use oral contraception. that would be my kind of !	positive
that's... fine? i mean, if she has a hormonal iud but wants to keep the pregnancy and is worried, that will reassure her. if she doesn't want to keep the pregnancy, plan b will not terminate it.	neutral
frantically requesting an appointment for an iud before birth control is outlawed: day 2	positive
are you on depo provera ?? cause that’s a side affect	negative
i'll get off the depo shot when i'm like 27 lol	neutral
headlines: intrauterine bling: 2,000 years of iuds, from camel contraceptives to body mod	neutral
at the hospital last week they asked if i had any foreign objects in my body and instead of iud i told them i had a dui so that’s what i’ll be thinking about for the rest of my life	neutral
the copper iud : what kind of birth control yal bitches got?	neutral
what's more effective in preventing pregnancy ladies..condoms or contraceptive pill ?	neutral
i was warn this could happen and my body actually kicked it out. i take depo shot now no complications.	mixed
i got my bc patch back	neutral
i want to very much and i’ve talked about it at length with my doctor. the problem is i use a hormonal iud which stops my periods and helps my mood and mental state tremendously. if i would get a tubal, insurance would no longer cover the hormonal iud.	positive
42 thoughts i had while getting an iud	neutral
iud: everything make you cry me: but why iud: also everything good to eat, lots of food me: ohk...? iud: are you hot in here or is it just nelly’s 2002 smash hit me: yeah i’m a little warm... also iud: cramps are exercise for your uterine demons me: if you say so	negative
scientists invent first male pill - telegraph	neutral
standard mobile - contraceptive pill could make you let go of mr	neutral
, i saw a thread here about the iud and it’s a ‘no’ from me. but those are small problems. drop pin. nataka ngata. na nyama.	negative
no! iud's got a 99% chance of protecting you from the seed. i don't want any kids. i'm just trying to cream da bushhhhhhh presidential style.	positive
this depo shot and cancer shot be having me so sore man	negative
i'm the young lady in the front row. and i'm proud as hell of my iud. it's me taking control of my medical choices.	positive
how my girl bout to look soon as she take that bc pill	neutral
we used a pilates ring in class today and when we were doing the clam jam _fouts referred to it as a giant nuva ring	neutral
incredibly skeptical of cis folks that are like oh wow all those hormones when i talk abt being on t & having an iud.. i have had plenty of medical professionals not have this reaction so pls contain urselves when talking abt my body. thankss	neutral
anybody got a iud ?	neutral
: i gota go get my depo shot today get it 3 times lol	neutral
how risky is the contraceptive pill? - bbc news	neutral
i’m pretty sure it’s less hormones so it should be less side effects look up nexplanon - no estrogen so no side effects for most people	positive
me talking to men i’m trying to have sex with: here’s a story about the trauma my iud caused my vagina	negative
does anyone use the birth control patch??	neutral
this the last birth control shot i take.. i really want to give noah a sibling next year	neutral
girls, 13, get secret birth control implant at school without parents' knowledge: girls as young as 13 have been injected with cont...	negative
listen jokes on me i’ve had this nexplanon for 3 years and it comes out in august and no one will sleep with me	neutral
i do not recommend anyone getting the nexplanon. that shit will have you nauseous af	negative
me too! i don't want hormones but i hear the cramps with the copper iud are insane	mixed
i wanted to let you know with my art work i really like you i'm exmilitary and now in a wheelchair do2 being injured by iud	falsePositive
i slept for like six hours this afternoon after my iud insertion and apparently woke up just enough to ominously text sean hi three times but not enough to respond to his messages or answer the phone when he called me	neutral
effects of medroxyprogesterone acetate on gene expression in myometrial explants from pregnant women: journal ...	neutral
got that depo shot. bitch we in there	positive
and even if a male took an oral birth control pill specifically for the purposes of being caught, the pill isn't a contraceptive for him.	neutral
heyyyyy cuz cuz &; marie got me watching her put a nuva ring in smh	neutral
israel admits use of long-acting depo-provera to sterilise ethiopian women: 50% decline in birthrate in community	neutral
that birth control shot got sum females lookn a good hot mess smh!	negative
invest in the iud i think i'm going to get that	positive
get iud's, move out the state or vote these politicians out of office. the problem is. . when election time comes......the majority of white women vote for the very politician they claim to rail against	positive
yes they told me iud is non hormonal which means no weight gain , no period but, when u take it out your period is gonna be horrible this sprintec im on is just not working anymore like wtf	mixed
medicated vaginal ring can reduce risk of hiv infection a special type of vaginal ring th…	falsePositive
haha sorry, its all over my news feed. there was a study that linked the contraceptive pill with depression in women	negative
in denying doh's omnibus motion, sc said they still require the fda to properly examine implanon and implanon nxt.	neutral
if you’re on paraguard hmu i’m trynna get educated	neutral
: : don't think i could do it.girl them lil boogers slide right on out. ~um its not possible i got a iud babyyyy!!	positive
getting off this birth control shot in december and then i’m done with birth control	neutral
i have worries about the nexplanon implant: i got the contraceptive implant yesterday and there are a few (pro...	negative
the contraceptive pill actually drives you insane and i don’t care what anyone says	negative
have you tried a menstrual cup? my friend loves hers. i have an iud so i don't get my period anymore, but maybe try a menstrual cup.	neutral
glaucoma linked to pill in new us study	neutral
tomorrow i find out if i now have endometrial cancer. thanks mirena iud. my uterus was just fine and happy before you came along.	negative
pigmentation on your upper lip? if u use a contraceptive pill it may be time to change your dose and of course wear sunscreen everyday!	negative
so ready to get my damn depo shot. can't deal with these damn cramps no more.	positive
i know it’s 4:00 bc that’s when my friend takes her birth control pill and she just popped it into her mouth so i know what time it is currently without looking	neutral
they shoulda let you get that iud	positive
should i use progesterone cream?: i am a 26 year old female. i took depo provera injections for 3 years(aged 17-...	neutral
it cost us $500 out of pocket to remove my wife's iud. no drugs, no special procedures, $500 to stretch her open and pull a piece of plastic out with forceps.	negative
placing an iud for me meant 2 valiums, a fainting spell, and getting sick on the metro, but it was worth it to keep that from being a monthly routine. 10/10 would do again	mixed
that’s good you only paid $60 come thruuuuu coverage !!! my insurance covers the iud just not all of the procedure costs when it’s that much :’( it’s like an 80/20 thing. thnx for the recommendation tho love i night have to consider it !!	mixed
legit getting nervous. iud comes out next month and we’re gonna try for another baby i hope the next kid is as great as vinny. he sure did set the bar high.	neutral
is the depo shot a smart move??	neutral
i got an iud. i love this shit.	positive
4real idk and no i dont think he is gay lol. i didnt know what a iud was he thought it was a college and its really a birth control	neutral
i’ve been bc free since 2016 .... iud scares me	negative
saw your mom at the alladin hotel in vegas in march 1981. i still remember her jokes, and that i couldn't catch my breath i was laughing so hard. one of her jewels was, i am getting used to my new iud, but everytime i uncross my legs, the neighbor's garage door goes up.	neutral
can someone answer this, is the contraceptive pill free in america? as i am curious to find out will people have to pay for it when the eventually sell the nhs to the americans,	neutral
man i am in the process of trying to get the nexplanon implant or whatever so i can get mine regulated. im tried of having 22 day long periods. it sucks. im tired, and i wanna wear cute unders again, dammit!	positive
mirena iud concerns!!!!! newborn photographed with mom’s iud in hand	negative
is she getting a depo shot?	neutral
everyones gettin knocked up...its soooooooo trendin like a tt...*pops bc pill...	positive
it's this three month birth control shot it's said to be 99% effective it's the best !!!!!! lol	positive
implanon my fuggin hero i have the same damn thing!	positive
the only ring your ass will be wearing is a nuvaring!	neutral
it don't take that long to see somebody for a depo shot	positive
damn he wanna lick your nuva ring?! nigga what?!	neutral
my healthcare’s so good i’m putting iuds on a chain	positive
contraceptive pill :o family of wallasey woman who die suddenly from a blood clot raise 10,000 for charity in her me...	negative
this is so funny bc when i was getting my iud put in the doctor was asking what i wanted to go to school for and then i passed out	negative
don't ever get the birth control implant in your arm. it has me alllllllll the way fuxked up	negative
lol stocking up on food got my dentist appointment and birth control shot ready for tomorrow	neutral
i believe that is a ice-green iud moth.	falsePositive
so like... i just got my iud today and then i read the comic. are you stealing my life for the entertainment of others?	neutral
i’m pretty much use to my depo shot, but today was different, that shit hurted	mixed
i doubt - other contraceptives been there : hiv rate will increase rt tsoga_: this contraceptive implant must be rolled out	positive
remote control contraception implant could reasonably be on the market by 2018	neutral
hand out birth control like candy and free iuds to save $in the long run. all joking aside, push the hell out of prevention	positive
fuckk the depo shot man	negative
nexplanon! it’s a little rod that goes in ur arm! good for 3 to 5 years!	positive
80s i've had an iud for two years and its been wonderful	positive
i only remember what day it is bc pill o	neutral
so i can watch a 2.5 minute ad about nuva ring and get my episode commercial free, or just watch the regular commercials. i chose nuva ring.	neutral
had a patient today tell me she has the dui form of birth control.. so i said you mean the iud? and she said yeah, idk i think... girl	neutral
i accidentally skipped a birth control pill yesterday so i had to double down and take two today and i saw a poodle w the actual poodle haircut (u kno the one!!!!) and i teared up	neutral
my doctor changed my birth control to the nuva-ring. it's really hard to swallow.	neutral
read intrauterine devices (iud) first. lactating ladies or after delivery however, not after 4 weeks ladies with...	neutral
wanna know what’s cool? with the iud i get all the excruciating pain of my period without the bleeding. if i have to still have a period i think i would rather just bleed?!	negative
anxiety, moodswings, foot pain, swollen hands, muscle twitches, numbness of your hands or feet...dear doctor the answer is yes...it could be your iud	negative
been on the depo injection for about a year and every time it’s due i crumble in pain and can’t walk, how????	negative
roll fake iud bombs writing scripts, lies, 4casting death creating spiritual disease sex and 69divine a d=aid b c: ouija mirror gate ex-pontiff's holy mary 4l: love laughter lightens load 4c, oceans, lakes, rivers thru	falsePositive
if you're thinking about the coil but have a few unanswered questions... how is a copper iud or hormonal ius inserted? cover this and much more in this quick video -	neutral
he said he is gonna rip my iud out, trap out and put a baby in me	neutral
i said fuck walmart & went to food depot bc they're nicer..but mainly bc i don't have an id	falsePositive
new post: many risks of birth control patch	negative
bout get off this birth control shot fuck no bitch not tryna get cervical cancer	negative
oral contraceptive use early in pregnancy not tied to defects -	positive
fq: hey ppnt. i'm on contraceptive patch about 6-7 months i take off tuesday n start my bleed thursday every 3...	neutral
hahahahahahahahahahahahahhahahahahah so you mean men can't handle depo provera that's what this is	neutral
i have paraguard.. its an iud	neutral
the oral contraceptive service aims to make it easier for who are already on the pill to get a further supply	positive
a brief history of birth control pill	neutral
i have paraguard and i love it! it hurt when they put it in and the cramps and your period suck ass for like 3 months after but	mixed
47 my doctor said iuds aren't really advised for women who have never had a kid because the cervical opening is 2small	negative
i always use nuva ring. it's an unusual way but definitely works!	positive
yes but iud take the fries first	falsePositive
unseen bits is the placebo birth control pill at the end of the pack that doesn’t do anything besides keep you in the habit of watching every night	neutral
public service announcement for all women: don’t ever choose nexplanon as a form of bc...do not do that to your body. thank me later!!!!!	negative
you tell a doctor that you don’t like birth control and they drop a 30 minute speech about the cooper iud.	negative
specific approvals so detailed. entire industry failed at failure to release /report elizabeth rochford as ara in fraudulent takeover ™®© icd9 her cancer from methadone not the same. all recalled as causes cancer. abortions 2 elective kind. iud cervix. rights	neutral
new story in health from time: iuds may have a surprising health benefit informac…	positive
admiteddetly, i'm a bit unhinged on this one. come at me. and take the iud out of my body at your own risk...	positive
he had suggested the iud (i have a hormonal one) also because i have horrific periods and he told me sterilization wouldn't help those, but since bad periods tend to ebb with time maybe it's time to check it out	positive
seriously though. intense need for ice cream has never hit this hard! can an iud give you cravings? ugh, i preach so much about being in tune with my body bc recovery but flip shit at craving dairy lmao	neutral
fyi: there are a few different types of iuds to fit women's different needs; research which is suitable for you:	positive
tru!! depo shot is a fraud	negative
gold standard is a term usually reserved for diagnostic tests; as contraception is not a test but a therapy, we look for 'first line' options, which tend to be the best for most patients (always individualizing choice on myriads of patient factors). iuds *are* 'first line'	positive
_vs christian was telling the nurse about his shots as she was giving me my depo shot. lol his were 2 months ago!	neutral
need advice about iuds or want to make an appointment to start, stop, or change your birth control method? planned parenthood can help:	neutral
are there side effects after the implanon is removed? how long will it take to get pregnant?	neutral
amen. talking bout im taking my iud kus he wants a family. bitch u dumb as hell. smh	neutral
exactly why i hated the depo shot never again will i get it	negative
new post added at live chat with doctor - nuvaring fell out after intercourse	negative
i have an iud and it’s my best friend	positive
hating my bc pill. on any given day i cannot be 100% sure i'm not going to be spotting. i know... tmi	negative
who gets or used to get the depo shot?	neutral
effffin hate changing my bc pill	negative
this guy at work just told me i need to get on the depo bc so that i can get thick as hell 0__o....was that suppose to be a complement??	neutral
got my birth control shot today. it's quick but masakit yung turok hahaha. should've requested to have the depo injected on my less dominant arm.	negative
asia sends me mixed messages. she talks about me getting a nuva ring but then she texts me pics of mannequin babies being delivered hahahah	neutral
this nexplanon really hurts..fck wht yu heard	negative
i'm on the iud so imma just slide this puppy out and let him shoot the club up like its still in	neutral
i was on the nuvaring! i liked it but i wanted something that lasted longer instead of changing my ring every month	mixed
my period became much heavier after i had my iud inserted. nothing a super tampon can't contain. my period pains are relatively mild tho. some painkillers and a booty rub sort them out.	mixed
not sure what is right for you? our latest teen voice talks about implanon	neutral
december. faithful birth control pill popper until then.	positive
: so... if you used nuva ring as a cock ring would that stop the sperm? in essence thats what its already doin-internally	neutral
a gynecologist irreversibly damaged his patient's uterus when he failed to remove an old iud before inserting a new one. these animations helped robert rooth - - show the defendant's clear negligence. read the entire case study:	negative
good iud because no	neutral
linda gettin an iud	neutral
can iuds really safely stop your period?	neutral
im depot injection today (fluphenazine decanoate 40mg - typical antipsychotic). great consumer compliance. remembered the airlock! 50008	falsePositive
great gull debate. aggressive ilfracombe seagulls may be put on contraceptive pill	neutral
yes! i’m so happy i chose this over the iud option! otherwise, my doc wouldn’t have found the endometriosis. i suspected it because of symptoms and my mom had it.	positive
i got the nexplanon and i breastfed, so they’ve been better.	positive
you both gerrara here hol up hol up my iud would never let me down	positive
modern contraception surpasses earlier methods: the contraceptive pill unarguably remains the most sought afte...	positive
for any girls thinking about starting bc... don’t get the depo provera shot, its the worst thing that i ever chose to do to myself	negative
gettin the iud that's goin last me for 5yrs i can't be worry abt no damn kids my life to complicated	positive
i want my past lovers for keeping me std free and to nuvaring for holding me down.	positive
i've drank 5 water bottles in the last hour and haven't pissed in 5 hours because i have to have an ultrasound to check my iud	neutral
i'm bout to get the birth control shot.. i'm so tired of periods..	positive
where yhu get the nuva ring from... planned parenthood ? lol	neutral
i am not taking another depo shot before i start looking like a oompa lumpa! lol.	negative
i typed damn iud and it autocorrected to damn kid and now i’m grateful. thank you iud.	positive
i hate seeing these doctors. i could gain 1 lb & they be like depo provera does cause alot of weight gain so you need to control that.	negative
when i had the iud i had it for about a week before it caused me to have cysts rupture and then that continued for about 2 months nonstop needless to say i had to get it out because it was ruining me	negative
hahaha omg nope, thank u nexplanon	positive
i was the same way when i had mine removed! i could not get rid of the belly pudge no matter how hard i worked out or decently i ate. got the iud out and i dropped 5 pounds in a week.	negative
beneficios pastilla anticonceptiva eshre capri workshop group noncontraceptive benefits of oral contraception.hum reprodupdate 2005;11:513	neutral
: nene leakes nuva ring. - damn	neutral
yet again my coming in clutch while i got my iud today.	neutral
_18: lmao depo shot foolmao	neutral
team iud so far so good lol	positive
♡ ♡ ♡ _styles hello h!! why did the ghost go into the bar? for the boos i love you please follow me? ♡ ♡ ♡ iud	falsePositive
i'm getting my nexplanon changed out next week too why couldn't it wait	neutral
underestimated the spotting that came with this iud. ob/gyn's office says it's normal for up to 3 months.	negative
if pinoys want it, they must know how to use it, none stopping them from grabbing condom or iud and sticking it on and in. ano ba bobo?	neutral
girl right headaches &being sick ugh: _tahj: birth control patch !make u feel pregnant? ugh i hated it	negative
brilliant i want to market an iud that is a little rick santorum action figure.	neutral
