text	goldStandard
i thought getting the depo shot was gonna be a good idea, but now i'm deep into a sad playlist and crying... but at least i'm not pregnant.	mixed
i will never advise anyone to get nexplanon. that is the worst mistake any girl could make	negative
: i'm getting the contraceptive implant in 14 hours and i'm freaking the fuck out.	negative
wtf is a depo shot --b.c	neutral
who needs this when they could get an iud, the og set-it-and-forget-it of hormonal birth control	positive
ah the italian classic, sour cream topped nuva ring -	neutral
(_x7 sigueme) new contraceptive ring aims to prevent pregnancy, hiv: (_x7 followme)	neutral
:( :( :( worst :( (but seriously, i am the world's biggest iud advocate. no more periods. so mad i can't get one.)	positive
yeah for sure! but then i read about women denied iud's bc they're under 40, or pay hundreds for them, and feel bad complaining.	mixed
the depo shot is the devil	negative
i really don’t like being on bc, but the nexplanon is my favorite out of all of them. i already have enough to stress about so i definitely don’t need to be stressed about whether or not i’m pregnant with not being on bc.	mixed
good: underage youngsters on the contraceptive pill has increased 50 per cent in a decade.	neutral
iud insertion is one of the most viscerally upsetting and physically painful things i’ve ever put my body through...if i could replace it with a single needle prick you bet your ass i fuckin’ would.	negative
this hoe has team nuva ring in her bio. i hate life... i hate you all...	neutral
i am going into my 3rd cycle so i’ve had 2 of the 3 year impants, the first one was rough. the second one was a lot better. for me it regulated my weight but enhanced my depression so just keep a eye on that. i prefer this method than the iud!	mixed
sitting here debating if i should get the second birth control shot because i lost 10 pounds with my first	mixed
i did at least get the bone density scan both referred and done, and i have an appointment for the nexplanon set for a few weeks out (soonest i could get!) even though the results still haven't been released. hopefully by then??	neutral
i have implanon in my arm..it's no big deal so far, i've had it for 5 years now..	positive
i had nexplanon in my arm and it was awful! when i did have it taken out, it had to be surgically removed because it became	negative
1 those women could thwart this exploitation if they had access to a subversive depo-provera shot	neutral
iud or no iud every teenage boy will try to get away without using a condom.	neutral
it looks like they have a got damn iud on their helmet lol	neutral
takes bc pill with a swallow of beer	neutral
- the contraceptive pill could make women brainier: the pill could trigger growth in regions of the f...	positive
_pincheeric_ the nuva ring	neutral
i'm gonna say this then i'm going to sleep... if i don't soon go to work, i'm gonna remove my iud and have a baby...	neutral
3w3nglandgirl there's literally only one thing that should even be an issue but iuds are controversial in the church!	negative
ny times-health f.d.a. panel weighs complaints on essure contraceptive implant	neutral
i support the medical community’s recommendations. i am not qualified to answer questions about safety of otc oral contraception or any other medication.	neutral
how do they put it in, with a gun? - my friend derek on iud insertions	neutral
ish, they're checking me as i've been on the depo injection almost 2 years plus struggling with vitamin d deficiency x	neutral
nyc, you darling, you never seize to amaze me. a man today asked if he could see my iud i laughed and said you mean my intrauterine- he interrupted yes	neutral
iud proposed to treat uterine cancer	positive
god should have given her an iud	neutral
i was hospitalized for a day last wk after a terrible experience with an iud. my bill is = cost of 1 yr of college. so thankful i have ins.	negative
open forum • cheap rizatriptan cary - order rizatriptan order nuva ring a…	neutral
_preggers be careful with any kind of birth control .. i've been on the birth control shot for 5 years and i ended up pregnant	negative
smh. i can't take this having a period business. i'm getting a birth control shot asap to stop this madness.	positive
men may have access to a contraceptive pill in the future	neutral
i wanna get my iud out and not get it replaced but *praying* lord please no more babies!	negative
bruh idk if shawty was on depo shot diet or she been eating but sheesh	negative
i’m taking my iud out fuck it	negative
i had the copper iud and loved it for not having hormonal side effects, buuuut after 2 years i got really heavy periods. so i just switched to a hormonal iud.	mixed
pee after sex or you'll get an iud.	neutral
don't get an iud fam, it's not worth it	negative
i ain't have to go get checked i go to the doctor every 3 months for my birth control shot	neutral
i have been on the depo shot for 9 months. i was due for a shot in dec but did not get it. i had a period abou...	neutral
you can’t get pregnant on depo provera	neutral
canajee said my birth control patch look stupid on my thigh	negative
iuds are becoming more and more popular in north america, do you know everything you need to before getting one?	neutral
off to tomorrow to speak at a dinner in memory of a young lady who died of a caused by the contraceptive pill.	negative
_nery i think we've come to the conclussion that switching to a new bc pill is the problem.	negative
lol : i wonder if i can sell the name 'pregnerp' to contraceptive pill manufacturers	neutral
ok but seriously... i forgot one birth control pill. just doubled up the next day. few days later, had sex with a condom and he pulled out ages before he came. but i’ve been feeling sick for a week and my stupid paranoid ass is like am i pregnant	neutral
hello! i am thrilled that you are reading the balance plan please let me know how you get on! i would personally want to investigate what's driving it - genetics, thyroid, contraceptive pill, stress, diet, lifestyle etc x	neutral
_stina: best thing with depo provera as well. i gotta get me a shot of that!	positive
having an iud is so nice bc your skin is never the same texture and you never know if your emotions are real:)	negative
any of my followers tried the bc pill that doesn’t give you a period?	neutral
& that is coming from someone who has suffered greatly from the depo shot.	negative
at baby high..you go to your english class and three doors down u get ya birth control shot..what a school	neutral
nuva ring lmfaoooo	neutral
i'm similarly iud carrying and period-less. the hormones work for me but when they run low i can tell.... my hormones are serious bad guys.	mixed
all this baby talk , let me go get an implanon even though i don't get any action.	positive
anyone who gets implanon is mental. i had it and still have shooting pains in my arm when i pick up something heavy. stupid decision.	negative
ur not the only one. i also felt hungry more the first week of my nuva ring.	negative
i remember you also saying something about hormones and gut bugs at one point - i think the iud contributed to dysbiosis too	negative
no not really, im doing this on my own, this baby came and i thought i had the iud in so it was unexpected	negative
have you looked into the arm implant? i have it for my periods and it works well. maybe it’s something to consider? :)	positive
tucker you just said iud's!!! didn't you mean ied's?	neutral
please let your followers know that the iud and the drug /yasmin are both unsafe forms of birth control.	negative
a new vaginal ring prevents hiv, but what does that mean for black women? click link to view and comment:	falsePositive
hulu gave me an ad for a birth control implant and almost a minute of it is potential horrible complications. anyway, back to my cartoon...	negative
read a lot about iuds before getting one	neutral
yeah - despite that i was kinda surprised [at the time] that romances authors were against the male bc pill for their heroes	neutral
*got the **copper ***iud *accidently **sat on ***a penny	neutral
thank you for my birth control pill. it's perfect.	positive
im so glad youre getting help!! you deserve it! im okay, my iud was displaced and causing issues and i switched bcs so i think itll help my weight, but have been dealing with crazy neighbors below me and got my tires slashed and he was waiting in the bushes to attack me, so, good	mixed
discount on ortho evra. quite paying more for your prescriptions, get the discount prescription card.	neutral
10 months here and nothing. but i did get a bc implant in my arm a month ago so...	neutral
iud insertion also very painful for many women who haven’t given birth and under-medicated, but i’d say this is way less pro-choicers trying to avoid giving ammunition to catholics and more than me general neglect of women’s pain and experiences in gyn.	negative
i'm so mad at depo bc periods for a long time make me really angry two weeks is long enough i dont need three months or longer	negative
to use the birth control patch how	neutral
come on nexplanon. you ain’t a weak bitch! don’t do me like this	negative
the first time i got one my dr numbed my cervix. so i felt nothing, was a breeze. 3 yrs later.. i’m on my 2nd one now, the removal and 2nd insertion, not numbed... chile. 8/10. thought i was gna pass out all day. i have 0 pain tolerance, but the iud is the best thing i ever got!	mixed
not taking my birth control shot anymore has me in so much pain	mixed
i had a dream that my doctor took out my iud bc she thought i was preg but she was wrongand had to put it back in. andi woke up in a panic.	neutral
i just watched get her iud removed. i’m not gonna lie my arm is a little limp.	negative
do you need an oral contraceptive? look no further, visit our online doctor for contraceptive information today!	neutral
it is 2018, do you not think they could make a birth control pill for men, seriously if you cared you would find a way. in this day age with advancements in the medical field etc. nothing can be thought of? smh, if you don't want to get a woman pregnant don't have sex period.	neutral
big same with nexplanon	neutral
__xmeshiaaatho u got the implanon?	neutral
a ring ? ohh like a nuva ring	neutral
i took birth control pills because to regulate my periods which were often late & i experienced progressively worse cramps & swollen breasts over several months. the birth control pill fixed it all.	positive
_iud man that cars been nothing but problems for you.	falsePositive
might be inappropriate, but hey, it's twitter. anyone with iud experience ? i want to prepare for marriage.	neutral
wish that would work for me--i take thyroid, doesn't help w/ this. i also got a mirena iud for a year that made no difference.	neutral
my hair is falling out so much lately .. i noticed it in june, but i got my birth control shot in july and now it’s really coming out. that’s how much hair i’ve pulled out by just running my hands through my hair.	negative
what are the benefits of the birth control pill? (	neutral
- reduced hiv-1 infection incidence with vaginal ring - a monthly vaginal ring containing dapivirine…	falsePositive
i think with these new laws about to be implemented, every woman should use some form of contraception to avoid it now. i’ll probably go on the iud. everyone wants to prevent abortion, bc that is the last choice in the matter and no one wants to go through it	positive
when i was 25, i went to a new obgyn and wanted to try the implanon. she went off on this long tangent about how i shouldn’t use a birth control that lasts 3 years because i was running out of time to have a baby. she also spent half an hour giving me diet advice i didn’t ask for	neutral
666ots i know alot of girls w/ iuds and they love them for alittle while then they hate them b/c they hurt or they come out	mixed
depo provera long term side effects and depo provera calendar and how effective is depo provera and depo provera shot	neutral
and niggas sayin they knocked an iud out of place? lol	neutral
can any of you ladies calm my fears about getting an iud?!	mixed
these chick be thirst to go hatch so i fuck a bitch wit a condom and a birth control patch	neutral
when i see oral contraception i think swallow.	neutral
either my kidney hurts or my iud is moving. something hurts. so that’s fun.	negative
i’m only hittin if she got a nuvaring	positive
guess who’s getting their iud today ..me.. guess who’s not having kids for the next five years..me.. guess who’s not having kids ever again in life period... meeeee	positive
more adventures in amber's abdomen. new dx of adenomyosis & fibroids to add to the party. going to try an iud and see if it works for me. whee!	positive
that depo shot had me fucked up fuck that shit	negative
i want offffff of this birth control shot . no way my face sould be this big	negative
do this depo shot make you eat alot ?	neutral
a2. trial & error - it took several trips to before i found my current love, the arm implant, but every body is different! most important thing: having a respectful provider who helps you on your journey to find a method that works best for you.	positive
vaginal ring/cream may be feasible for urogenital atrophy	neutral
just found a rogue bc pill on my desk...distinctly remember taking one this morning....do i take this one anyway....	neutral
now ii knw got damn well it doesn't take this long for a depo shot	neutral
this thing is disrespectful ---> : the confidence of an abortion survivor---- rt ery1_5: you missed the contraceptive pill.	neutral
oleg once referred to an iud as a dui and now i can't stop calling it that	neutral
_lapadra: knowing i gotta get this depo shot next month . i can still feel the soreness from october .	negative
invest in an iud for the love of god	positive
a good friend had an abortion because she got pregnant on an iud and was afraid of a birth defect. she regrets it deeply to this day. a family member aborted her baby after pressure from her husband. she was never the same. she’s been depressed and regretful for almost 20 years.	negative
the contraceptive pill could prevent women getting dementia years after they have stopped taking it, according to...	positive
why you should get an iud before trump becomes president: and which one is right for you:	positive
i don't even wanna get my birth control shot but i know i need it *shrugs*	mixed
thats so romantic : if she's on the nuva ring tell her pull it out so you know its real..	neutral
doooo it. i got the copper iud, it was supposed to be $480, i didn't have to pay anything	positive
does the contraceptive pill make your boobs bigger???	neutral
playtime over! now time to get my implanon implant replaced. he said yours is the first one i've replaced, this will be fun! . lol	mixed
andrew bynum got a birth control patch on his back	neutral
unfortunately the fetus was confirmed iud just before we started the fetal blood sampling procedure	falsePositive
3 _vaughn99 i'm for mandatory bc for those types, but iuds are more effective, idiot-proof, and don't pollute the water	positive
a lot of innocent civilians killed by iud devices? then i realised i had misheard and your vaginas are, in fact, safe! 4news	neutral
every time i hear a screaming baby i thank god for my iud	positive
i was lucky enough to get an iud before trump got elected, and i hope that trump will be gone before i have to change it. i will go through every reasonable effort to not get myself pregnant but i will not deny sex and pleasure because i fucking like that shit. its not ur biz.	positive
i gotta check my iud when i get home we don’t need noooooo earthquake weather accidents	neutral
yes, nexplanon has its drawbacks. wouldn't recommend it unless you know how you roll with hormones...	mixed
lemme pay for ya nexplanon babygirl!	neutral
getting the implanon so i won't have to worry about birth control for three years.	positive
i’ve been on nexplanon for over 2 yrs now i haven’t had a since. i just don’t know anymore on the effects it’s had on my body and i kinda want it removed but i’m curious on other methods before i do officially decide to remove it	mixed
looks like a nuva ring is one ring neither won.	neutral
girl i know she's not getting her iud replaced she's gonna have a baby with dumbass brandon that baby is not gonna be right in the head	neutral
from a guy since evidently only our opinion matters stick an iud up your ass and shut the f up. no woman wants to hear your opinion about what to do with their bodies. some arguments aren’t for you man. just give it a rest.	neutral
whoa what about the iud?	neutral
finally got some birth control! here's my experience so far with nexplanon (i hope it give…	neutral
only ring half you whores will be getting on valentine's day is the birth control ring in your vag	neutral
used to be like that but i am more sane now got implanon to control my hormones	positive
nexplanon implanon. implant in arm.	neutral
the economist rated the contraceptive pill as the most important invention of the 20th century.inventada por mexicano	positive
i am so over this depo shot , i’m good love enjoy !	negative
your iud out of your walls	neutral
unless she has the depo shot or that y thing they shove in her uterus. those are the most preventive of a conceiving.	positive
i have this spooks thought that if i were to ever do some real drugs i would try to remove my birth control implant from my arm.	neutral
dear nfp isn’t the rhythm method. please learn more than abortion, iuds, and hormonal birth control. there are other options.	positive
the new nuva ring ribbed for his pleasure.	neutral
spoken like a man who has never had to spread legs in stirrups for an iud insertion.	neutral
i promise my depo shot has never made me feel like this b4...cnt even move my whole left arm	mixed
i bled for almost 10 months straight on it :( i have an iud now and i’m finally getting back on track	mixed
i'm thinking about switching to the iud that they insert in your arm. it stays there for five years. so easy.	positive
imma blame it on the birth control shot	negative
tea tree oil!!!!! every night and morning i’ve been rubbing it all over my face w/ a make up wipe & it’s been working wonders! i have a bunch of acne from my iud! i’ve always had good skin!! i hate it!	negative
lmfaoo : what's that iud's : twitter: what's your fetish?	neutral
since i have gotten my iud i’m not as emotional and don’t cry as much. which sucks because i miss having a good cry here and there	mixed
i don't need an over-compensator who doesn't know where iuds go to cure anything for me, but thanks for playing	neutral
villa on.... hahahhahahah it's like eating contraceptive pill on eighth month of pregnancy	neutral
i have two my second i had an iud so it was meant to be i guess lol . chatting about on mtv.com.	neutral
when a man researches how iuds are inserted and is trying to tell you how you should feel	neutral
retweeted teen vogue (): scientists are working on an iud you can insert yourself:...	neutral
hey, i got a comment of the week award at em and lo's regarding the acog's new broad approval of iuds	neutral
filthy : my gynecologist better not ever give me an iud. i'm gone be out here catching nutt like	negative
idk why but iuds terrify me more than tampons do	negative
i haven't had oh look, i'm on the floor now cramps like this since the time my uterus tried to reject an iud please send comfort food possibly comfort wine a nice sangiovese	negative
physically, mentally, financially, & emotionally i can not handle another pregnancy. i hear these force birthers are including contraceptives, including iuds as abortions. they can all go to hell.	positive
now if i would just do this study with the contraceptive implant i'd be very grateful, cause i swear i'm not even the same person anymore	mixed
does mike rod have a nuva ring around his neck¿ jw	neutral
everyone pop a birth control pill before going to the club and just go crazy	positive
this girl really said that the birth control pill is tricking your body that you're pregnant and that the sugar pill tells your body its not	neutral
if i was one day late on getting my depo-shot and had sex 2 days after, could i be pregnant?	neutral
animals should be my only social interaction until my hormone levels from my birth control implant exchange level out	negative
i do plan to destroy a building with a diaphragm. : house goper compares my co-pay-free iud to 9/11	mixed
i forget to take my birth control pill once in the 3 years i've been on it and ofc i start my fucking period the next morning. this doesnt even happen on my off weeks....	negative
tmi tweet: my iud really needs to stop fucking around with my body composition. leave shit alone you lil fucker.	negative
birth control shot, forgot da name, but u barely b having periods when u get those	positive
i do it less than once a week. it hurts my iud! :/	negative
idc what anybody says...that depo shot throws a few pounds ur way...	negative
i play pioneerville iud shash.schnetz got credit for my small forward donkey, now not show credit. he is on my homestead	falsePositive
our board co-chair spoke with to help break down the myths around iud usage! watch:	neutral
the most expensive oral bc pill is seasonique $200/month. fyi	neutral
: this is the part where i say that thank to nuva ring, my son is snoring in the next room. noted.	positive
stupid fuckin mirena iud igot after her caused me soo many issues i gained 60 in like 5 months	negative
nah, i used to never use them bc i have an iud and thought that was enough and i guess it is to avoid pregnancy	positive
not really. i was on a business trip the week prior. late on my birth control shot.	neutral
why is trying to get an iud placement harder than getting into a university. bitch wtf !!	negative
how to people have their xulane patch fall off?? i can’t get mine to come off when i need to change it?? i mean obvi i can it just hurts lowkey	negative
just realized that i changed my tinder to women only on the same day i got an iud....	neutral
anyone know anything about that contraceptive implant in your arm?	neutral
lmao! watchin step it up 2 again lol! man this movie is always i on when i get home drunk lol. love wathcing this stup[iud ass m ovie lol	falsePositive
seattle schools offer iuds to junior highers	neutral
how does the female contraceptive pill work?	neutral
the nuva ring* -_____- lol ;; lmfao	neutral
ion like taking this bc pill.	negative
if you think getting an iud hurts just imagine pushing a baby’s head out, look at the size difference!	mixed
look into the paragard! it’s a non-hormonal iud, good for 10 years. i got mine like 2 weeks ago and i don’t even know it’s there.	positive
eating contraceptive can really do to acne? znnw . oral contraceptive	neutral
get the iud :) the one without hormones. i've had it for 3 years and o problems whatsoever	positive
i love you paraguard	positive
dr offered me an iud for birth control...um no	negative
_iud hahaha right? i think so	neutral
«_alady implanon is a death wish are serious dude come cut this bish outtt!!!!»	negative
_is4kellies if the iud is working for you that's great. the side effects i'm not enjoying	mixed
500mg naproxen for 3 days before ya period starts, when you start feeling cramping. one in the morning when you get up. this is the only combination that saved mine & my iud's relationship, cause this fool was gonna have to kick rocks when we started. 8 years this year	mixed
7 is how you test out her iud	neutral
lover oko wathi le course yam yi iud, smh	falsePositive
nexplanon has been good to me. i had it for 3 years and just recently had it replaced because nothing else worked for me lml i only had some side effects for the first 3 months but after that i was okay.	positive
27 ok, so if they're not responsible enough to strap up or pull out, what's gonna change with a bc pill? contraceptives not prob	neutral
i had pretty awful cramps after i got my iud and not only was my mood shit because i had to work while trying to ignore the pain but also, think wild animal clawing it’s way out of your body	negative
_nai: depo shot got bxtches thinking they buffy the body and shxt ..	neutral
at least she got a birth control patch on	positive
if anything happens to my mummy or daddy especially my mummy i really do nt know waht iud do ..doubt iud make it ..am gon lose it straight!	falsePositive
we are now aware that girl has an iud	neutral
the depo shot got my whole right ass cheek and leg numb -_- shit hurts !	negative
>_>22cents: i want another kid. imma take my iud out without telling mr	neutral
depression risk tripled with progestin only oral contraceptive. if holds up i suspect drug will get pulled.	negative
wait till u remove and re-insert nuvaring.	neutral
soooo birth control shot side effect? loss of sex drive. how does this make sense? :/	negative
_uncensor love me an iud... however the tenaculum?	mixed
all this going on and all i want is a depo shot..	positive
i had an iud inserted 2 weeks ago, had to remove it a week later. the depression, hormonal imbalances and weight gain. never again	negative
ah, flashbacks to some terrible uae doctors! such as the one who had me on a really dangerous birth control pill for five years and the one who signed me off work for a week because i had chicken box...	negative
it's here y'all. bo$$lady- iud	neutral
i’m on wellbutrin. have been for years. walgreens has everything on auto refill, so i don’t have to think about it. when i went to pick up my bc pill, they said oh there’s no more refills so we have to authorize it with your doctor ok no prob routine thing not an issue	neutral
iud? how 'bout a tubal ligation? she should love that. never has to worry about an inconvenient pregnancy.	neutral
contraceptive pill can be taken every day, nhs says in new guidance there is no health benefit to a seven-day break ... a practice first introduced in the hope the catholic church would accept some form of contraception.	neutral
sis iud, stay in school cause it's the best.	positive
guys, isn't the iud the easiest one?	positive
_lady03 sheesh.. good luck with that one! when i say no time soon 4 me i mean it... && if this iud fail im suing the maker!	mixed
narrator: esther didn’t realize that an old white guy invented the birth control pill.	neutral
no. not yet lol. my iud is doing its thang	positive
getting my birth control arm implant tomorrow and im scared help	negative
got my birth control implant replaced!! it was apparently the easiest removal this doc has ever done which is nice coz when i had my first one removed the doc really had to dig for it. now i get to go home and sleep then cat quest	positive
just got my birth control shot .. something i should've gotten like 2 years ago	positive
whelp my bc pill fell down the sink this morning i hope y’all morning better than mine	negative
pull that iud out and give me a niece or nephew _azia	neutral
fda panel backs benefit of birth control patch - a panel of federal health advisers says johnson and johnson's ortho e...	neutral
_zoee101 hey. i have severe tonsillitis and an iud that's mia in my vagina. lmao.	negative
after 2.25 years with an iud/no periods, apparently we’re starting that up again. sigh.	negative
this damn depo provera is getting the best of me	negative
me: taking my birth control pill daily	neutral
ah you wish ! its called depo shot and condoms ! :d somebody get _erica	neutral
i have a feeling my iud and i are going to be great friends, but for now my body is not happy with our new little visitor	mixed
i’m boutta get an iud and i’m sooooo scared	negative
i guess i'm an official woman comedian because sunday's post is a very serious farewell to my nexplanon implant and as you know, women comedians only talk about their periods	neutral
please no.. the roads are going to get worse... damn iuds oops i mean ieds and woman drivers, ohshit.	negative
did my own depo shot today feel accomplished	positive
need to go get this depo shot tomorrow cause i'm tired of period not knowing whether she wanna stay off or on!	positive
did you get an iud?!	neutral
o man! had to fight to get on it so doubted if it was offered... if you can handle it (you can do it at home now too in a lot of places) the depo injection isnt too bad either? honestly periods need to just not	positive
could i be pregnant even though im on the depo shot?	neutral
i have the copper iud and i haven’t noticed any changes with anything other then my period. it lasts a full week now and i feel alllll the symptoms including pms cramps (which i didn’t get before) but other than that i love it and it lasts for 12 years	mixed
i think that's a justified fear though. though i don't suspect that's the main reason women get an iud.	neutral
so, i had sex with my so while her birth control ring was still in, and it skinned my cock…	negative
my wife had an issue with depo shot, but my son and soon to be will be getting all vaccines after i did my research.	negative
my body rejected my iud. (and then i found out i got pregnant while still on it) not the best experience all the way around.	negative
on the contraceptive pill. thought i was pregnant 2 month ago, went to doctors did test, was negative, had 2 per...	mixed
the contraceptive implant with a remote control: system can dispense birth control drugs for 16 years	neutral
does anyone else have the iud if so does it give you nosebleeds ?	neutral
lord, build a hedge around this iud.	neutral
ladies: do any of y’all have or have ever tried the paragard iud? if so dm me pls	neutral
you can get a contraceptive implant from the nhs that lasts for years for nothing.	positive
_starr: me 2 n i still dont gain no weight lol : this depo shot have me eating like i'm prego me either lol	negative
i need 800 dollars for a new iud :(	negative
would have been really strange had the artifacts been crated as something like iuds.	neutral
no one talks about the mental side affects of the pill, they always talk about the physical side like weight gain. i’ve been mentally crushed since i’ve been on the contraceptive pill and i’m sick of it	negative
seriously, i've seen iud insertions done under general anesthesia. not the most common thing, but you don't have to go all out - there is no reason to go through it without relief if the procedure causes you pain!!	mixed
conscientiousness and adherence to the oral contraceptive pill: a cross-sectional analysis of the facets of conscientiousness 1 94 _molloy	neutral
nuva ring was really fucking me up	negative
i totally agree.....i had a medicated iud inserted and let me tell you, never again! not without some sort of anesthesia!	negative
women's health for the poor is covered by medicaid. i've never had to walk into a pp, i have an iud and 2 children	positive
e-stimulation can be beneficial in pelvic muscle training, bladder control, and multiple treatments for post-surgery muscle rehab. *please do not use if you have a copper iud.	neutral
my nexplanon be so rude lately.	negative
this vaginal ring that will help women prevent hiv /	positive
see - that's my other concern. i figured they leak. also, i remember that time my nuvaring got stuck and i needed help getting it out. i'm done with anything more than pressed cotton in my pussy.	negative
well iud thats the case them some of, you know what nvm lol	falsePositive
d6 new contraceptive pill that can be taken a month after sex is attacked by campaigners as 'abortion by the b...	neutral
_mischu i have an iud. with oli we were 'not not trying' and i was pregnant within the week, so we're not playing that game!	positive
women in hijabs can have thick accents. so make sure there’s no confusion over whether she has an iud or an ied in there.	neutral
these cramps are horrible. before my iud i hardly ever got them and now they are a motheeerrr fucker.	negative
cw: contraception & needles . . . . . . . . . . if any of my twitter friends has been or is on the depo-provera shot and is comfortable chatting with me about it pls slide into my dms	neutral
lmaooo : s/o to my boys that actually do it the right way and put a ring on they one nuva ring!!!!	positive
as per go.128(f&p) 13-4-1982 female employees can utilise spl.cl on the day of inserting iud (intra uterus device loop) aparatus.	neutral
i'm takin this iud out.	negative
